"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HNRNPA1L2",6.53852494840153e-43,-0.309560119756782,0.321,0.465,1.03687928631752e-38
"VKORC1",6.56605630843726e-43,0.282315440164543,0.717,0.574,1.04124520939198e-38
"CAPZB",6.96011720579777e-43,-0.356229464660194,0.565,0.669,1.10373538649541e-38
"MBOAT7",1.17712993058049e-42,-0.2862749620443,0.228,0.371,1.86669264391454e-38
"FOXA2",1.22921432990595e-42,0.282218271164468,0.487,0.336,1.94928808436486e-38
"EIF5A",1.68773026211369e-42,-0.357251201325469,0.662,0.738,2.6764026496599e-38
"CTGF",3.50861698230786e-42,-0.544381630537288,0.016,0.101,5.56396481054381e-38
"REG1B",4.03388670639671e-42,-3.91255642735528,0.22,0.329,6.3969375390039e-38
"PPP2CB",5.14890735095197e-42,0.302240955376918,0.571,0.432,8.16513727713963e-38
"GPX1",7.05427438716136e-42,-0.4598348318135,0.449,0.561,1.11866683231605e-37
"MPZL1",8.11493831712886e-42,-0.310422148626286,0.188,0.324,1.28686691833029e-37
"TMEM109",1.24575169894646e-41,0.285652415563637,0.559,0.419,1.9755130441893e-37
"PNP",1.30201830370292e-41,-0.346504444579436,0.146,0.277,2.0647406260121e-37
"CAMLG",1.43603176310268e-41,0.253509680415376,0.451,0.307,2.27725916992823e-37
"RBP1",1.75258416961753e-41,-0.378780877089921,0.309,0.444,2.77924797617948e-37
"PTP4A3",2.21313949968641e-41,-0.455021571132498,0.173,0.306,3.50959661860271e-37
"NEU1",2.3807064866199e-41,0.256844228296754,0.469,0.327,3.77532434648183e-37
"ATP5EP2",3.94880915730228e-41,0.300193276621186,0.587,0.446,6.26202156164996e-37
"CEBPB",8.74564484996898e-41,-0.61389049426707,0.159,0.28,1.38688436030808e-36
"HNRNPC",9.340738164354e-41,0.290039857825868,0.834,0.752,1.48125425810326e-36
"RABAC1",9.42481375609818e-41,0.255453753028226,0.748,0.604,1.49458696544205e-36
"SLC39A14",1.15693052944113e-40,0.389278356528592,0.548,0.399,1.83466043358775e-36
"ALDOA",1.22623087640123e-40,0.303791150444807,0.671,0.549,1.94455692379707e-36
"RRBP1",1.77937302210518e-40,-0.29494727253369,0.249,0.383,2.8217297384544e-36
"COX7B",2.63509875818344e-40,0.251457106674896,0.621,0.482,4.1787396107273e-36
"GPSM1",2.79464283749099e-40,0.408220414984997,0.201,0.1,4.43174461169321e-36
"LY6E",2.79892138577318e-40,-0.293381703113963,0.077,0.188,4.43852953355911e-36
"PSMA7",3.01824536358514e-40,-0.32453677723114,0.56,0.684,4.78633349757331e-36
"PRDX2",3.0491041114298e-40,0.27967542629985,0.663,0.533,4.83526929990537e-36
"PVRL2",3.06002286567909e-40,-0.30986190308342,0.285,0.42,4.85258426039389e-36
"PCBP1",3.89940746552563e-40,-0.3193612048929,0.852,0.879,6.18368035883055e-36
"EIF4EBP1",4.80557175304251e-40,-0.295155681173524,0.221,0.354,7.62067568597482e-36
"PABPN1",1.0615568516704e-39,-0.262059562638595,0.286,0.429,1.68341685537891e-35
"FAM89B",2.07655445401612e-39,-0.280523261787449,0.188,0.323,3.29300005317876e-35
"EEF1D",3.13755566174271e-39,-0.471449063855002,0.56,0.623,4.97553576839158e-35
"MAP4K4",1.18786218356292e-38,-0.367278359818041,0.27,0.401,1.88371185069409e-34
"POLD4",1.52061356204364e-38,-0.311245624761849,0.241,0.37,2.4113889866888e-34
"SESN2",2.10335402685624e-38,-0.286062025387996,0.156,0.284,3.33549881578862e-34
"PKM",2.81962074192648e-38,-0.426893408722581,0.799,0.814,4.47135457254701e-34
"F3",1.32950562703782e-37,-0.659066855300205,0.1,0.209,2.10833002335657e-33
"PTBP1",1.43461391312103e-37,-0.273915819039102,0.314,0.45,2.27501074342733e-33
"LSR",1.8325881676672e-37,-0.270510811384297,0.207,0.335,2.90611831628664e-33
"SEC61G",3.42664853823441e-37,0.269765851170993,0.686,0.555,5.43397925193213e-33
"UBB",4.02188597559414e-37,-0.313389502814327,0.879,0.923,6.37790678009718e-33
"TACC1",4.04077846764262e-37,-0.265321856157452,0.177,0.306,6.40786649398767e-33
"SQSTM1",5.32836381453399e-37,-0.485067874585801,0.826,0.862,8.44971933708799e-33
"C15orf48",5.65046289190026e-37,-0.622055924802051,0.198,0.312,8.96050405397544e-33
"RHEB",6.49894316899195e-37,0.260506534301273,0.564,0.437,1.03060240773874e-32
"CALY",1.33822817497083e-36,-0.482736949344321,0.19,0.306,2.12216223986874e-32
"MYO1C",2.92155977676991e-36,-0.289586991453072,0.285,0.417,4.63300949400172e-32
"HNRNPF",5.92401051813554e-36,-0.291642741013368,0.399,0.529,9.39429587965933e-32
"SLC39A1",6.06996356888133e-36,-0.301594982832859,0.368,0.497,9.62574822753202e-32
"RPL27",9.66962462764422e-36,-0.265192534847967,0.98,0.981,1.53340907345182e-31
"ISG15",1.20817313005077e-35,-0.300189211177304,0.069,0.17,1.91592094963451e-31
"PABPC1",1.41479579507098e-35,-0.321540685418649,0.756,0.798,2.24358317182357e-31
"HMGA1",2.38665028072752e-35,-0.653472761325831,0.329,0.437,3.78475001517769e-31
"SLC38A2",4.49385335318602e-35,-0.284635748940927,0.106,0.219,7.12635264748239e-31
"BGN",5.67303339214371e-35,-1.30830252605093,0.024,0.101,8.99629635326149e-31
"COX7A2L",1.41258891002901e-34,0.257072348721702,0.698,0.589,2.24008349352401e-30
"FKBP1A",1.97300075361249e-34,-0.434557650532734,0.502,0.618,3.12878459507868e-30
"SMARCA2",2.52001872749532e-34,0.263045819813919,0.397,0.268,3.99624569806208e-30
"TOMM20",3.57593397625308e-34,0.255035755163887,0.588,0.469,5.67071609954214e-30
"PXN",4.49984199251442e-34,-0.258278169537392,0.209,0.334,7.13584943172937e-30
"CSNK1E",6.35135608871347e-34,-0.333461124826378,0.353,0.481,1.00719804854818e-29
"SLC16A3",9.15559666786485e-34,-0.250402879961474,0.04,0.126,1.45189451959001e-29
"DUSP5",1.2215903206758e-33,-0.515668818254565,0.187,0.301,1.93719793052769e-29
"MDH2",1.52782582960589e-33,0.265932823482246,0.748,0.648,2.42282620058902e-29
"LLGL2",2.18339575613891e-33,-0.263514824559245,0.236,0.365,3.46242899008508e-29
"SLC6A8",3.28058460319074e-33,-0.277829805646657,0.049,0.138,5.20235106373987e-29
"TMED2",3.35634317340723e-33,0.262269549959805,0.743,0.648,5.32248900438919e-29
"ALKBH5",3.91629500071596e-33,0.25167885357949,0.618,0.493,6.21046061213537e-29
"FLNB",5.44184425091842e-33,-0.302069489690103,0.393,0.514,8.62967661310643e-29
"FCGRT",5.76456412332536e-33,-0.279487598647896,0.193,0.312,9.14144578676936e-29
"ARHGDIA",8.1451225508732e-33,-0.285484784324554,0.478,0.592,1.29165353411747e-28
"LAMC1",8.27359090627237e-33,-0.347140478297439,0.148,0.257,1.31202604591667e-28
"PDK4",8.32164478683808e-33,-1.06649598024606,0.352,0.449,1.31964643029678e-28
"GRN",1.70793210832905e-32,-0.394110931265511,0.629,0.725,2.70843873738821e-28
